row;col;UP;ElevP50;ARMFR;ElevP90
54;46;52I212;19.8793;75.3669;21.4952
54;47;52I212;19.9907;76.9292;21.5962
54;48;52I212;19.7441;75.4347;21.9851
53;9;52I212;11.9387;50;25.2651
53;10;52I212;6.4117;58.1185;27.7955
53;11;52I212;15.3862;66.0085;28.4338
53;12;52I212;18.117;67.9489;28.2697
53;13;52I212;12.9852;65.578;27.9105
53;14;52I212;10.5652;62.7356;28.7284
53;15;52I212;12.191;62.9763;28.6876
53;16;52I212;8.1494;61.1556;28.0794
53;17;52I212;13.2322;62.7758;28.1904
53;18;52I212;15.7278;67.1654;27.5498
53;19;52I212;12.6447;64.0687;27.1175
53;20;52I212;14.7099;64.0842;27.2053
53;21;52I212;14.2065;62.9966;27.0662
53;22;52I212;15.1308;64.4816;27.1738
53;23;52I212;16.965;67.2198;27.2282
53;24;52I212;10.5468;61.9791;26.785
53;25;52I212;10.4904;62.6187;26.2367
53;26;52I212;12.2672;65.1045;25.5353
53;27;52I212;7.1807;62.9592;25.6978
53;28;52I212;6.0149;60.2784;25.4496
53;29;52I212;12.6563;64.5688;25.0282
53;30;52I212;15.3419;66.8782;24.7573
53;31;52I212;12.4334;65.0939;25.1504
53;32;52I212;10.2935;62.9584;25.7451
53;33;52I212;7.9382;61.7854;25.9821
53;34;52I212;12.2083;63.3278;25.7631
53;35;52I212;10.4938;64.035;25.8229
53;36;52I212;9.6074;62.8017;25.5052
53;37;52I212;9.9434;63.1261;25.5168
53;38;52I212;11.3164;63.3057;25.0225
53;39;52I212;10.4575;63.4735;25.6973
53;40;52I212;11.5634;65.3602;25.7983
